name,nameI,continent,countryI,launch,launchI,type,typeI,restraint,restraintI,designer,designerI,construction,constructionI
Olympia looping,113,Asia,1,Booster wheel lift hill,1,Looper,57,Shoulder harness,5,Schwarzkopf,45,Steel,5
Kraken,114,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Karacho,115,Europe,2,Magnetic Launch (LIM/LSM),14,Infinity,44,Lap bar,2,Gerstlauer,18,Steel,5
Oblivion,116,Europe,2,Chain lift hill,4,Dive,11,Shoulder harness,5,B&M,4,Steel,5
"Volcano, the Blast Coaster",117,NorthAm,3,Magnetic Launch (LIM/LSM),14,0,0,Shoulder harness,5,Intamin,22,Steel,5
Intimidator,118,NorthAm,3,0,0,Hyper,37,Lap bar,2,B&M,4,Steel,5
Big Grizzly Mountain Runaway Mine Cars,119,Asia,1,"Chain lift hill, Magnetic Launch (LIM/LSM)",7,Mine Train,65,Lap bar,2,Vekoma,50,Steel,5
The Swarm,120,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Formuła,121,Europe,2,Magnetic Launch (LIM/LSM),14,Looper,57,Shoulder harness,5,Vekoma,50,Steel,5
Formula Rossa,122,Asia,1,Hydraulic cable launch,13,Launched,49,Lap bar,2,Intamin,22,Steel,5
Raptor,123,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Silverstar,124,Europe,2,Chain lift hill,4,"Hyper, Out & Back",38,Lap bar,2,B&M,4,Steel,5
Boulder Dash,125,NorthAm,3,Chain lift hill,4,Out & Back,71,Lap bar,2,CCI,7,Wooden,9
Leviathan,126,NorthAm,3,Chain lift hill,4,"Giga, Hyper",35,Lap bar,2,B&M,4,Steel,5
Dragon Khan,127,Europe,2,Chain lift hill,4,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Gold Rush,128,Europe,2,Magnetic Launch (LIM/LSM),14,Infinity,44,Lap bar,2,Gerstlauer,18,Steel,5
Yukon Quad,129,Europe,2,Tire propelled launch,16,Family Launch Coaster,24,Lap bar,2,Intamin,22,Steel,5
Hollywood Dream : The Ride,130,Asia,1,Chain lift hill,4,Megacoaster,63,Lap bar,2,B&M,4,Steel,5
Flug der Dämonen,131,Europe,2,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Joris en de Draak (Vuur),132,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Flight Deck,133,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,B&M,4,Steel,5
The Smiler,134,Europe,2,Chain lift hill,4,Infinity,44,Lap bar,2,Gerstlauer,18,Steel,5
Wild Eagle,135,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Joris en de Draak (Water),136,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Shock,137,Europe,2,Magnetic Launch (LIM/LSM),14,Looper,57,Lap bar,2,Maurer,31,Steel,5
Superman - Ride Of Steel,138,NorthAm,3,Chain lift hill,4,Megacoaster,63,Lap bar,2,Intamin,22,Steel,5
Timber,139,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,Gravity Group,20,Wooden,9
Lisebergbanan,140,Europe,2,Chain lift hill,4,Terrain,89,Lap bar,2,Schwarzkopf,45,Steel,5
Silver Bullet,141,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Anubis,142,Europe,2,Magnetic Launch (LIM/LSM),14,Looper,57,Shoulder harness,5,Gerstlauer,18,Steel,5
Great Bear,143,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Rutschebanen,144,Europe,2,Cable lift hill,3,Out & Back,71,Lap bar,2,L.A. Thompson Scenic Railway,27,Wooden,9
Hangtime,145,NorthAm,3,Chain lift hill,4,"Looper, Infinity",59,Lap bar,2,Gerstlauer,18,Steel,5
Thunder dolphin,146,Asia,1,Cable lift hill,3,Hyper,37,Lap bar,2,Intamin,22,Steel,5
Inferno,147,Europe,2,0,0,"Family, Free Fall",25,None,3,Intamin,22,Steel,5
Dominator,148,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Fahrenheit,149,NorthAm,3,Chain lift hill,4,Looper,57,Lap bar,2,Intamin,22,Steel,5
The Voyage,150,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Gravity Group,20,Wooden,9
Wood Express,151,Europe,2,Chain lift hill,4,"Twister, Family",92,Lap bar,2,Gravity Group,20,Hybrid,3
Altair,152,Europe,2,0,0,0,0,None,3,Intamin,22,0,0
Pulsar,153,Europe,2,Magnetic Launch (LIM/LSM),14,Shuttle,76,Lap bar,2,Mack,29,Steel,5
Krake,154,Europe,2,Chain lift hill,4,Dive,11,Shoulder harness,5,B&M,4,Steel,5
Batman : Arkham Asylum,155,Europe,2,Chain lift hill,4,Batman Inverted Coaster,3,Shoulder harness,5,B&M,4,Steel,5
Superman - Ultimate Flight,156,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Banshee,157,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Dæmonen,158,Europe,2,Chain lift hill,4,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Bizarro,159,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Twister,160,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,Gravity Group,20,Wooden,9
Megafobia,161,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Sky Scream,162,Europe,2,Magnetic Launch (LIM/LSM),14,Looping,62,Lap bar,2,Premier Rides,37,Steel,5
Thunderbird,163,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Wooden Warrior,164,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Gravity Group,20,Wooden,9
Lynet,165,Europe,2,Hydraulic cable launch,13,Looper,57,Shoulder harness,5,Gerstlauer,18,Steel,5
X-Flight,166,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Superman - Ultimate Flight,167,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Tornado,168,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,Intamin,22,Steel,5
Tennessee Tornado,169,NorthAm,3,Chain lift hill,4,Looper,57,Shoulder harness,5,Arrow,2,Steel,5
White Lightning,170,NorthAm,3,Chain lift hill,4,Out & Back,71,Lap bar,2,GCI,17,Wooden,9
Phantom's Revenge,171,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,Arrow,2,Steel,5
Pegase Express,172,Europe,2,"Chain lift hill, Booster wheel lift hill, Tire propelled launch",5,0,0,Lap bar,2,Gerstlauer,18,Steel,5
Heidi the Ride,173,Europe,2,Chain lift hill,4,"Out & Back, Family",72,Lap bar,2,GCI,17,Wooden,9
Winja's Force,174,Europe,2,Vertical lift,17,0,0,Lap bar,2,Maurer,31,Steel,5
Revenge of the Mummy the Ride,175,NorthAm,3,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Premier Rides,37,0,0
Superman Ultimate Fight,176,NorthAm,3,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Premier Rides,37,Steel,5
GhostRider,177,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Colorado Adventure,178,Europe,2,Booster wheel lift hill,1,Mine Train,65,Lap bar,2,Vekoma,50,Steel,5
Abismo,179,Europe,2,Chain lift hill,4,X Car,97,Lap bar,2,Maurer,31,Steel,5
Nemesis Inferno,180,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Big Thunder Mountain,181,Europe,2,Chain lift hill,4,"Mine Train, Family",66,Lap bar,2,Vekoma,50,Steel,5
Hydra the Revenge,182,NorthAm,3,Chain lift hill,4,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Fujiyama,183,Asia,1,Chain lift hill,4,Hypercoaster,39,Lap bar,2,Togo,48,Steel,5
Big Thunder Mountain,184,Asia,1,Chain lift hill,4,Mine Train,65,Lap bar,2,Vekoma,50,Steel,5
Steel Force,185,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,Morgan,33,Steel,5
Rita,186,Europe,2,Hydraulic cable launch,13,Rocket,73,Shoulder harness,5,Intamin,22,Steel,5
The Wicker Man,187,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Muntanya Russa,188,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Vekoma,50,Steel,5
Raging Bull,189,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,B&M,4,Steel,5
