name,location,country,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Tiger Express,La Mer de Sable,France,Operating,Mack,Steel,Lap bar,2011,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,39.5
Kumali,Flamingo Land Theme Park and Zoo,United Kingdom,Operating,Vekoma,Steel,Shoulder harness,2006,Chain lift hill,NA,124.6704,4,54.680648,2201.4168,39.5
Feuerdrache,Legoland Deutschland,Germany,Operating,Zierer,Steel,Lap bar,2002,Booster wheel lift hill,NA,52.4928,0,37.28226,2821.488,39.5
Exterminator,Kennywood,United States,Operating,Reverchon,Steel,Lap bar,1999,Chain lift hill,Spinning Wild Mouse,42.6504,0,29.204437,1377.936,39.4
Super Railway,Foire,N/A,Operating,Schwarzkopf,Steel,None,NA,Chain lift hill,NA,NA,0,NA,NA,39.2
Thunderbolt,Kennywood,United States,Operating,ACE Coaster Classic,Steel,Lap bar,1924,Chain lift hill,NA,95.1432,0,55.302019,2887.104,39.2
Fire In The Hole,Silver Dollar City,United States,Operating,Unknown,Steel,Lap bar,1972,NA,NA,NA,0,NA,NA,39.1
Tranan,Skara Sommarland,Sweden,Operating,S&S,Steel,None,2009,Chain lift hill,Eagle,65.616,0,24.85484,1640.4,39.1
Atlantica SuperSplash,Europa Park,Germany,Operating,Mack,Steel,Lap bar,2005,Chain lift hill,Water Coaster,98.424,0,49.70968,1279.512,39
Euro Mir,Europa Park,Germany,Operating,Mack,Steel,Lap bar,1997,Spiral lift,Spinning,91.8624,0,49.70968,3215.184,38.6
Eurosat,Europa Park,Germany,Retracked,Mack,Steel,Lap bar,NA,Spiral lift,Family,85.3008,0,37.28226,2877.2616,38.5
Pegasus,Mt. Olympus Water & Theme Park,United States,Operating,CCI,Steel,Unknown,1996,NA,NA,59.0544,0,NA,NA,38.4
Falcon,Duinrell,Netherlands,Operating,Gerstlauer,Steel,Shoulder harness,2009,NA,Euro-Fighter,72.1776,2,NA,1049.856,38.4
Dark Knight,Six Flags Great America,United States,Operating,Mack,Steel,Lap bar,2008,Chain lift hill,Wild Mouse,NA,0,NA,1213.896,38.4
Boomerang,Wiener Prater,Austria,Operating,Vekoma,Steel,Lap bar,1992,Chain lift hill,"Boomerang, Multielement Shuttle",118.1088,3,47.224196,935.028,38.1
Achterbahn,Skyline Park,Germany,Operating,Schwarzkopf,Steel,Lap bar,NA,Chain lift hill,Family,49.212,0,31.06855,1837.248,38.1
Laff Trakk,Hersheypark,United States,Operating,Maurer,Steel,Lap bar,2015,Chain lift hill,NA,NA,0,40.389115,1400.9016,37.9
West Coaster,Pacific Park,United States,Operating,Morgan,Steel,Lap bar,1996,Chain lift hill,NA,55.7736,0,34.796776,1299.1968,37.9
Mammut,Gardaland,Italy,Operating,Vekoma,Steel,Lap bar,2008,Chain lift hill,Mine Train,45.9312,0,31.06855,3379.224,37.7
Stampida (Blue),Port Aventura,Spain,Operating,CCI,Wooden,Lap bar,1997,Chain lift hill,Twister,85.3008,0,45.981454,3126.6024,37.6
Shockwave,Drayton Manor,United Kingdom,Operating,Intamin,Steel,Shoulder harness,1994,Chain lift hill,NA,118.1088,4,49.70968,1640.4,37.6
Wild One,Six Flags America,United States,Operating,John Miller,Steel,Lap bar,1990,Chain lift hill,NA,98.424,0,52.816535,3999.2952,37.6
Stampida (Red),Port Aventura,Spain,Operating,CCI,Wooden,Lap bar,1997,Chain lift hill,Twister,85.3008,0,44.738712,3100.356,37.2
Thunderhawk,Dorney Park,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1923,Chain lift hill,Twister,78.7392,0,39.767744,2772.276,37.2
Woodstock Express,Kings Dominion,United States,Operating,Philadelphia Toboggan Coaster,Steel,Lap bar,1974,Chain lift hill,NA,36.0888,0,34.796776,1384.4976,37.1
Wonder Mountain's Guardian,Canada's Wonderland,Canada,Operating,ART Engineering GmbH,Steel,Lap bar,NA,Chain lift hill,Free Fall,59.0544,0,NA,1000.644,37
Invertigo,Kings Island,United States,Operating,Vekoma,Steel,Shoulder harness,NA,Chain lift hill,"Shuttle, Boomerang",160.7592,3,50.331051,1013.7672,36.8
Blazing Fury,Dollywood,United States,Operating,Unknown,Steel,Lap bar,1978,NA,NA,NA,0,NA,NA,36.6
Halvar,Plopsa Coo,Belgium,Operating,Vekoma,Steel,Lap bar,NA,Chain lift hill,Terrain,NA,0,NA,1870.056,36.6
Cyclone,Luna Park,United States,Operating,Unknown,Wooden,Lap bar,1927,Chain lift hill,Twister,85.3008,0,60.272987,2851.0152,36.2
