name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Steel Vengeance,Cedar Point,North America,RMC,Hybrid,Lap bar,2018,Chain lift hill,,206.6904,4,73.943149,5741.4,100
Fury 325,Carowinds,North America,B&M,Steel,Lap bar,2015,Chain lift hill,"Giga, Hyper",324.7992,0,95.069763,6600.9696,99.5
Maverick,Cedar Point,North America,Intamin,Steel,Shoulder harness,2007,Magnetic Launch (LIM/LSM),Rocket,104.9856,2,70.214923,4448.7648,99.2
Twisted Timbers,Kings Dominion,North America,RMC,Hybrid,Lap bar,2018,Chain lift hill,Looper,111.5472,3,54.059277,3359.5392,99.1
El Toro,Six Flags Great Adventure,North America,Intamin,Wooden,Lap bar,2006,Cable lift hill,Twister,180.444,0,70.214923,4399.5528,98.9
Wildfire,Kolmården,Europe,RMC,Wooden,Lap bar,2016,Chain lift hill,"Twister, Terrain",187.0056,3,70.214923,4265.04,98.8
Eejanaika,Fuji-Q Highland,Asia,S&S,Steel,Shoulder harness,2006,Chain lift hill,,249.3408,2,78.292746,3782.7624,98.8
Lightning Rod,Dollywood,North America,RMC,Wooden,Lap bar,2016,Magnetic Launch (LIM/LSM),,164.04,0,73.321778,3799.1664,98.8
Twisted Colossus,Six Flags Magic Mountain,North America,RMC,Hybrid,Lap bar,2015,Chain lift hill,,121.3896,2,57.166132,4986.816,98.8
Shambhala,Port Aventura,Europe,B&M,Steel,Lap bar,2012,Chain lift hill,Hyper,249.3408,0,83.263714,5131.1712,98.2
Hyperion,Energylandia,Europe,Intamin,Steel,Lap bar,2018,Chain lift hill,"Hyper, Out & Back",252.6216,1,86.99194,4757.16,98.2
Taron,Phantasialand,Europe,Intamin,Steel,Lap bar,2016,Magnetic Launch (LIM/LSM),,98.424,0,72.700407,4330.656,98.1
Wicked Cyclone,Six Flags New England,North America,RMC,Hybrid,Lap bar,2015,Chain lift hill,,108.2664,3,55.302019,3320.1696,98
