continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
2,18,5,0.5363013744354248,2004,4,5,55.7736,0,34.175405,1745.3856,49.8
2,50,5,2,32.40647888183594,1,22,65.616,0,34.175405,1312.32,49.7
3,45,5,2,1977,4,57,2.51601505279541,1,0.4018142819404602,49.98610305786133,49.7
2,22,5,3,2018,17,1.2891212701797485,164.04,0,68.35081,49.98610305786133,49.6
3,18,5,2,2007,4,1.2891212701797485,52.4928,0,31.06855,1351.6896,49.5
3,1,5,2,1921,4,1.2891212701797485,68.8968,0,44.738712,2132.52,49.2
2,50,5,5,2e3,14,1.2891212701797485,85.3008,3,55.92339,3267.6768,48.9
2,50,5,5,32.40647888183594,4,45,131.232,3,49.70968,1017.048,48.7
3,35,5,2,1994,4,1.2891212701797485,95.1432,0,55.302019,4196.1432,48.6
2,2,5,5,1979,0.6916375160217285,76,55.7736,1,44.738712,633.1944,48.3
1,32,0.30698874592781067,2,1998,4,1.2891212701797485,131.232,0,60.894358,5459.2512,48.3
3,2,5,0.5363013744354248,1959,4,5,78.7392,0,26.718953,2132.52,48.3
1,22,5,2,2e3,4,1.2891212701797485,121.3896,0,55.92339,4376.5872,48.3
3,42,5,0.5363013744354248,2008,4,1.2891212701797485,95.1432,3,40.389115,49.98610305786133,48.0
2,22,5,3,2003,3,1.2891212701797485,55.7736,0,37.28226,2296.56,47.8
2,29,5,2,32.40647888183594,4,22,75.4584,0,43.49597,2742.7488,47.8
2,22,5,2,2012,17,1.2891212701797485,164.04,0,68.35081,49.98610305786133,47.7
2,1,5,2,1932,3,1.2891212701797485,72.1776,0,46.602825,3238.1496,47.7
2,18,5,0.5363013744354248,2002,0.6916375160217285,5,2.51601505279541,0,0.4018142819404602,49.98610305786133,47.7
3,35,9,2,1972,4,1.2891212701797485,88.5816,0,60.894358,3412.032,47.4
3,50,5,2,32.40647888183594,1,22,65.616,0,34.175405,1295.916,47.3
2,29,5,2,1988,4,1.2891212701797485,65.616,0,31.06855,1492.764,47.3
