name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
555,"New York, New York Hotel & Casino",3,48,5,5,1997,4,57,203.4096,2,67.108068,4776.8448,23.7
557,Parque de Atracciones de Madrid,2,29,5,2,2009,4,95,45.9312,0,27.961695,1213.896,23.6
558,Nigloland,2,29,5,2,2007,4,95,45.9312,0,27.961695,1213.896,23.2
559,Six Flags Magic Mountain,3,22,5,5,2011,4,99,108.2664,0,37.28226,826.7616,23.2
562,Kings Dominion,3,35,9,2,1994,4,91,82.02,0,49.70968,3156.1296,22.6
563,Carowinds,3,50,5,5,2009,4,78,118.1088,3,47.224196,935.028,22.4
565,Efteling,2,50,5,5,1981,4,56,95.1432,4,46.602825,2460.6,22.2
568,Canada's Wonderland,3,35,9,2,1981,4,91,42.6504,0,34.796776,1354.9704,22.1
569,La Ronde,3,53,9,2,1985,4,91,127.9512,0,59.651616,3996.0144,22
570,Hansa Park,2,31,5,2,1997,4,95,49.212,0,27.961695,1213.896,21.8
574,Legoland Deutschland,2,29,5,2,2002,4,95,52.4928,0,34.796776,1312.32,21.6
578,Plopsaland,2,29,5,2,2004,11,14,45.9312,0,22.369356,1476.36,20.6
581,Chessington World of Adventures,2,31,5,2,1998,4,95,49.212,0,27.961695,1213.896,20.2
582,Carowinds,3,29,5,2,2002,4,95,45.9312,0,27.961695,1213.896,20.2
585,Movie Park Germany,2,29,5,2,2e3,4,95,45.9312,0,27.961695,1213.896,19.9
587,Canada's Wonderland,3,29,5,2,1999,4,95,52.4928,0,34.796776,1312.32,19.8
588,Six Flags Magic Mountain,3,2,5,5,1990,4,57,187.0056,7,69.593552,3828.6936,19.7
591,Parc des Combes,2,50,5,2,2003,1,47,29.5272,0,21.747985,679.1256,19.5
593,Phantasialand,2,50,5,2,1988,4,41,26.2464,0,31.06855,4199.424,19.2
596,Canada's Wonderland,3,35,9,2,1981,4,91,82.02,0,55.92339,3149.568,18.7
598,Cedar Point,3,50,5,2,1999,1,48,42.6504,0,28.583066,1099.068,18.5
600,Kings Dominion,3,29,5,2,2002,4,95,52.4928,0,34.796776,1312.32,18.3
