name,country,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
84,19,1,23,7,3,2014.0,13,10,0,0.0,0,0,86.8
85,19,1,38,7,3,1998.0,13,0,216.5328,1.0,70.214923,1299.1968,86.8
86,19,1,3,7,3,2009.0,3,39,229.656,0.0,80.156859,5282.088,86.3
87,18,1,3,7,2,2002.0,3,0,65.616,3.0,46.602825,2755.872,86.2
88,7,1,19,7,6,2009.0,6,21,131.232,1.0,62.1371,0,86.1
89,2,1,3,7,3,2006.0,3,39,173.8824,0.0,68.35081,4038.6648,85.8
90,7,1,30,7,3,2009.0,13,59,124.6704,4.0,62.1371,3464.5248,85.7
91,19,1,9,11,3,1979.0,3,0,111.5472,0.0,64.622584,7358.8344,85.7
92,19,1,3,7,6,2006.0,3,0,150.9168,4.0,59.651616,3080.6712,85.5
93,19,1,3,7,6,0,16,59,108.2664,7.0,66.486697,3697.4616,85.5
94,19,1,3,7,6,1993.0,3,59,141.0744,7.0,59.651616,3969.768,85.4
95,11,1,3,7,6,2015.0,3,11,124.6704,2.0,55.92339,1640.4,85.3
96,19,1,3,7,6,2000.0,3,0,150.9168,7.0,65.243955,3936.96,85.2
97,19,1,23,7,6,2001.0,13,59,108.2664,1.0,54.680648,6069.48,85.2
98,19,1,21,11,3,2017.0,3,0,82.02,1.0,48.466938,2289.9984,84.9
99,11,1,30,7,3,2016.0,3,3,104.9856,2.0,54.059277,2230.944,84.9
100,15,1,51,7,6,2002.0,2,72,190.2864,3.0,65.865326,1204.0536,84.7
101,8,1,3,7,6,2015.0,3,11,141.0744,2.0,62.1371,1856.9328,84.6
102,19,1,43,7,3,0,5,1,98.424,0.0,62.1371,3503.8944,84.3
103,8,1,3,7,6,2011.0,3,0,108.2664,3.0,55.92339,2526.216,84.2
104,19,1,3,7,6,0,3,59,121.3896,5.0,65.865326,3074.1096,84.2
105,19,1,57,7,3,2012.0,13,51,0,0.0,52.816535,2834.6112,84.1
106,3,1,3,7,6,0,3,59,114.828,4.0,55.92339,2788.68,84.1
107,19,1,51,7,3,2006.0,3,34,111.5472,0.0,49.70968,4399.5528,84.0
108,7,1,30,7,3,2017.0,13,59,147.636,3.0,55.92339,2362.176,83.9
109,14,1,38,7,6,2010.0,13,44,45.0,0.0,44.738712,2198.136,83.9
110,19,1,19,7,3,2016.0,3,46,134.5128,5.0,65.243955,2499.9696,83.8
111,7,1,18,11,3,2009.0,3,97,91.8624,0.0,46.602825,2460.6,83.8
112,10,1,46,7,6,1989.0,0,59,124.6704,5.0,49.70968,4101.0,83.5
113,19,1,3,7,6,2000.0,3,0,150.9168,7.0,65.243955,4176.4584,83.5
114,7,1,19,7,3,2013.0,13,46,104.9856,0.0,62.1371,2296.56,83.5
115,18,1,3,7,6,1998.0,3,11,65.616,0.0,68.35081,1220.4576,83.2
116,19,4,23,7,6,1998.0,13,0,154.1976,4.0,69.593552,2755.872,83.2
117,19,1,3,7,3,2010.0,0,39,232.9368,0.0,74.56452,5314.896,83.2
118,3,1,51,7,3,2012.0,6,67,0,0.0,34.796776,3608.88,83.0
119,18,1,3,7,6,2012.0,3,0,127.9512,4.0,0,2542.62,82.8
120,13,1,51,7,6,0,13,59,82.02,3.0,49.088309,1837.248,82.7
121,17,1,23,7,3,2010.0,12,51,170.6016,0.0,149.12904,6561.6,82.7
122,19,1,3,7,6,1994.0,3,0,137.7936,6.0,57.166132,3789.324,82.5
123,7,1,3,7,3,0,3,40,239.4984,0.0,78.914117,5314.896,82.4
124,19,1,5,11,3,2000.0,3,74,114.828,0.0,60.272987,4724.352,82.4
125,2,1,3,7,3,2012.0,3,37,305.1144,0.0,91.962908,5485.4976,82.0
126,15,1,3,7,6,1995.0,3,59,147.636,8.0,65.243955,4166.616,81.9
127,11,1,19,7,3,2017.0,13,46,108.2664,2.0,55.92339,1312.32,81.9
128,6,1,23,7,3,2018.0,16,24,39.3696,0.0,52.816535,3280.8,81.6
129,9,1,3,7,3,2007.0,3,65,144.3552,0.0,55.92339,3936.96,81.5
130,7,1,3,7,2,2014.0,3,0,164.04,5.0,62.1371,2532.7776,81.5
131,11,1,18,11,3,2010.0,3,97,72.1776,0.0,46.602825,2585.2704,81.4
132,19,0,3,7,6,1999.0,3,0,124.6704,5.0,60.272987,3198.78,81.4
133,19,1,3,7,3,1993.0,3,0,101.7048,3.0,50.331051,2260.4712,81.4
134,18,1,19,7,3,2013.0,3,46,98.424,14.0,52.816535,3838.536,81.3
135,19,1,3,7,6,2012.0,3,0,209.9712,4.0,60.894358,3126.6024,81.1
136,11,1,18,11,3,2010.0,3,97,72.1776,0.0,46.602825,2585.2704,80.3
137,8,1,32,7,3,2011.0,13,59,114.828,1.0,62.1371,2460.6,80.3
138,19,1,23,7,3,2000.0,3,65,196.848,0.0,72.700407,5347.704,80.2
139,6,1,21,11,3,2016.0,3,97,55.7736,0.0,40.389115,1463.2368,79.2
140,16,1,46,7,3,1987.0,3,95,147.636,0.0,49.70968,5078.6784,79.0
141,19,1,3,7,6,2004.0,3,0,147.636,6.0,55.302019,3126.6024,79.0
142,1,1,19,7,6,0,13,59,111.5472,3.0,55.92339,1968.48,78.9
143,19,1,3,7,6,1998.0,3,0,88.5816,4.0,57.787503,2798.5224,78.9
144,4,1,29,11,3,0,2,74,42.6504,0.0,31.06855,2362.176,78.4
145,19,1,19,7,3,0,3,61,150.9168,4.0,57.166132,2198.136,78.4
146,9,1,23,7,3,2003.0,2,39,262.464,0.0,80.77823,3510.456,78.3
147,8,1,23,7,4,0,0,25,65.616,0.0,0,1499.3256,78.3
148,19,1,3,7,6,2008.0,3,0,157.4784,5.0,65.243955,4209.2664,78.1
149,19,1,23,7,3,2008.0,3,59,121.3896,6.0,57.787503,2700.0984,78.1
150,19,1,21,11,3,2006.0,3,97,160.7592,0.0,67.108068,6440.2104,77.8
151,6,1,21,4,3,2018.0,3,98,49.212,0.0,37.903631,1571.5032,77.6
152,19,0,3,7,6,1999.0,3,0,124.6704,5.0,55.302019,3198.78,77.4
153,8,1,23,0,4,2014.0,0,0,108.2664,0.0,52.816535,2870.7,77.3
154,1,1,30,7,3,0,13,80,147.636,0.0,62.1371,711.9336,77.2
155,7,1,3,7,6,2011.0,3,11,134.5128,1.0,0,1561.6608,77.0
156,15,1,3,7,6,2002.0,3,2,104.9856,5.0,49.70968,2700.0984,76.9
157,19,1,3,7,2,2003.0,3,0,104.9856,2.0,50.952422,2759.1528,76.7
158,19,1,3,7,6,2014.0,3,0,167.3208,7.0,68.35081,4133.808,76.5
159,4,1,3,7,6,0,3,59,91.8624,3.0,47.845567,1850.3712,76.3
160,19,1,3,7,6,1999.0,3,0,141.0744,7.0,60.894358,3982.8912,76.1
161,16,1,21,11,3,2011.0,3,97,49.212,0.0,37.903631,1574.784,76.1
162,18,1,5,11,3,1996.0,3,97,85.3008,0.0,47.845567,2956.0008,76.0
163,18,0,50,11,5,1958.0,3,101,0,0.0,0,1279.512,76.0
164,7,1,38,7,3,2014.0,13,64,150.9168,1.0,62.1371,853.008,75.5
165,5,1,18,11,3,2006.0,3,97,88.5816,0.0,46.602825,2788.68,75.3
166,19,1,21,11,3,2011.0,3,97,36.0888,0.0,34.796776,1240.1424,75.0
167,4,1,19,7,6,2008.0,12,59,65.616,2.0,49.70968,1771.632,75.0
168,19,1,3,7,2,2012.0,3,0,121.3896,5.0,55.92339,3001.932,75.0
169,19,1,3,7,2,2003.0,3,0,104.9856,2.0,50.952422,2798.5224,74.9
170,5,1,23,7,6,2001.0,3,0,82.02,5.0,46.602825,2296.56,74.6
171,19,1,2,7,6,1999.0,3,59,164.04,3.0,62.758471,2683.6944,74.5
172,19,1,18,11,3,2013.0,3,74,75.4584,0.0,46.602825,1968.48,74.4
173,19,1,2,7,3,1991.0,3,39,229.656,0.0,82.020972,3198.78,74.3
174,6,1,19,7,3,2017.0,4,0,68.8968,0.0,32.311292,3044.5824,74.2
175,1,1,18,11,3,2017.0,3,75,72.1776,0.0,43.49597,2034.096,74.2
176,7,1,32,7,3,2002.0,17,0,55.7736,0.0,37.28226,1345.128,74.1
177,19,1,38,0,3,2004.0,13,0,45.9312,0.0,39.767744,1906.1448,74.1
178,19,1,38,7,3,2012.0,13,0,147.636,1.0,59.651616,0,73.7
179,19,1,18,11,3,1998.0,3,97,118.1088,0.0,55.92339,4534.0656,73.4
180,7,1,51,7,3,1996.0,0,67,85.3008,0.0,31.06855,4199.424,73.3
181,15,1,32,7,3,2006.0,3,103,150.9168,2.0,65.243955,1476.36,73.3
182,18,1,3,7,6,2003.0,3,0,95.1432,4.0,47.845567,2460.6,73.2
183,6,1,51,7,3,1992.0,3,68,72.1776,0.0,37.28226,4921.2,73.2
184,19,1,3,7,6,0,3,59,95.1432,7.0,52.816535,3198.78,73.0
185,9,1,49,7,3,1996.0,3,41,259.1832,0.0,80.77823,6709.236,72.9
186,9,1,51,7,3,1987.0,3,67,0,0.0,37.28226,0,72.4
187,19,1,34,7,3,1997.0,3,39,200.1288,0.0,74.56452,5597.0448,72.3
188,18,1,23,7,6,2005.0,12,76,68.8968,0.0,60.894358,2122.6776,71.9
189,18,1,18,11,3,2018.0,3,97,72.1776,0.0,44.117341,2027.5344,71.8
190,15,1,51,7,3,2008.0,3,0,82.02,0.0,49.70968,2427.792,71.8
191,19,1,3,7,3,1999.0,3,39,203.4096,0.0,73.321778,5058.9936,71.7
192,19,1,23,7,6,2002.0,13,80,206.6904,0.0,72.079036,0,71.5
193,19,1,3,7,8,0,3,11,223.0944,3.0,74.56452,3444.84,71.5
194,11,1,30,7,3,2012.0,3,0,65.616,0.0,43.49597,1515.7296,71.3
195,7,1,23,7,3,2007.0,12,76,62.3352,0.0,62.1371,2132.52,71.3
196,7,1,32,7,3,2002.0,17,0,55.7736,0.0,41.010486,1525.572,71.3
197,19,1,18,11,3,2008.0,3,0,82.02,0.0,47.845567,2713.2216,71.2
198,5,1,32,7,6,2011.0,3,103,150.9168,2.0,65.243955,492.12,70.9
199,4,1,23,7,6,2013.0,16,24,39.3696,0.0,52.816535,3280.8,70.8
200,19,1,18,11,3,2004.0,3,97,101.7048,0.0,55.302019,3231.588,70.7
201,19,1,18,11,3,2013.0,3,97,108.2664,0.0,54.059277,3198.78,70.6
202,19,1,50,7,3,1924.0,3,0,68.8968,0.0,55.302019,2641.044,70.3
203,19,1,3,7,6,1993.0,3,0,104.9856,5.0,50.331051,2693.5368,70.1
204,9,1,30,7,3,2010.0,0,0,62.3352,0.0,0,1919.268,69.7
205,19,1,46,7,6,1978.0,3,59,82.02,2.0,50.331051,3254.5536,69.6
206,19,1,21,11,3,2007.0,3,97,95.1432,0.0,50.952422,3234.8688,69.4
207,4,1,23,7,3,1997.0,0,67,62.3352,0.0,40.389115,0,69.1
208,19,1,43,7,6,2015.0,3,32,118.1088,0.0,37.903631,1017.048,69.1
209,19,1,3,7,6,1997.0,3,0,104.9856,5.0,50.331051,2700.0984,69.0
210,19,1,23,7,6,2001.0,13,80,150.9168,1.0,65.243955,629.9136,68.8
211,18,1,32,7,3,2004.0,3,0,59.0544,0.0,0,1771.632,68.7
212,19,1,15,7,3,2005.0,3,42,75.4584,0.0,32.311292,3451.4016,68.6
213,12,1,23,7,6,2006.0,12,76,131.232,3.0,55.92339,2263.752,68.4
214,19,1,38,7,3,2015.0,13,54,150.9168,1.0,62.1371,862.8504,68.3
215,19,1,3,7,6,1998.0,3,0,154.1976,6.0,65.243955,4370.0256,68.2
216,15,1,32,7,3,2005.0,3,0,72.1776,0.0,42.253228,2066.904,68.2
217,18,1,23,7,3,0,1,31,65.616,0.0,40.389115,2480.2848,68.0
218,19,1,51,7,2,2001.0,3,0,114.828,5.0,50.331051,3339.8544,68.0
219,19,1,23,7,6,2001.0,13,80,183.7248,0.0,70.214923,629.9136,67.9
220,19,1,43,7,6,2017.0,3,32,121.3896,0.0,37.903631,1017.048,67.7
221,19,0,51,7,2,2007.0,3,29,114.828,0.0,50.331051,3339.8544,67.6
222,3,1,51,7,3,0,3,22,45.9312,0.0,31.06855,1909.4256,67.5
223,9,1,34,7,3,2000.0,3,36,318.2376,0.0,95.069763,8133.1032,67.5
224,19,1,34,7,3,1999.0,3,65,150.9168,0.0,65.243955,3700.7424,67.4
225,4,1,51,0,6,2013.0,0,0,62.3352,0.0,46.602825,1486.2024,67.4
226,19,1,3,7,6,1992.0,3,0,101.7048,5.0,50.331051,2700.0984,67.0
227,19,1,32,7,3,2009.0,3,103,167.3208,0.0,65.243955,0,66.8
228,5,1,23,7,6,2007.0,3,105,85.3008,0.0,37.28226,465.8736,66.7
229,3,1,56,7,3,1999.0,0,67,68.8968,0.0,46.602825,2329.368,66.7
230,19,1,18,11,3,2000.0,3,97,88.5816,0.0,50.952422,3398.9088,66.7
231,7,1,19,7,3,2011.0,3,42,26.2464,0.0,22.369356,1312.32,66.6
232,18,1,51,0,4,0,0,0,65.616,0.0,0,1295.916,66.3
233,7,1,32,7,3,2004.0,3,103,150.9168,2.0,65.243955,492.12,66.2
234,19,1,2,7,3,1980.0,3,67,0,0.0,36.039518,2778.8376,66.2
235,2,1,3,7,6,2002.0,3,0,104.9856,5.0,50.331051,2700.0984,66.2
236,19,1,38,7,3,1999.0,13,55,78.7392,4.0,59.651616,2703.3792,66.0
237,19,1,20,7,3,2000.0,3,41,232.9368,0.0,85.127827,4494.696,65.8
238,19,1,18,11,3,2000.0,3,97,88.5816,0.0,50.952422,3398.9088,65.7
239,16,1,46,7,3,1988.0,3,33,104.9856,0.0,55.92339,2624.64,65.7
240,19,1,43,7,6,2016.0,3,32,121.3896,0.0,37.903631,1020.3288,65.7
241,11,2,46,7,3,1979.0,3,59,78.7392,1.0,46.602825,1942.2336,65.6
242,1,1,46,7,3,1982.0,13,85,137.7936,1.0,52.816535,853.008,65.5
243,19,1,2,7,3,1989.0,3,39,206.6904,0.0,72.079036,5104.9248,65.5
244,19,1,19,7,3,2014.0,7,57,0,0.0,34.796776,2427.792,65.4
245,19,1,52,7,3,1979.0,3,67,0,0.0,27.961695,2670.5712,65.4
246,10,1,16,7,3,1992.0,3,0,59.0544,0.0,31.06855,2493.408,65.3
247,19,1,23,7,3,1997.0,13,80,413.3808,0.0,99.41936,1233.5808,65.3
248,18,1,4,7,3,1991.0,3,67,157.4784,0.0,49.70968,7440.8544,65.2
249,19,1,30,7,3,2012.0,13,51,29.5272,0.0,43.49597,2788.68,65.0
250,19,1,3,7,6,2002.0,3,0,118.1088,5.0,55.302019,2601.6744,64.9
251,19,1,43,7,6,2017.0,3,32,118.1088,0.0,37.903631,1017.048,64.6
252,19,1,5,11,3,2000.0,3,97,150.9168,0.0,65.865326,5052.432,64.5
253,19,1,3,7,6,1995.0,3,0,104.9856,5.0,50.331051,2693.5368,64.3
254,19,1,46,7,3,1978.0,12,81,147.636,1.0,55.302019,800.5152,64.2
255,19,1,2,7,3,1975.0,3,0,88.5816,0.0,27.340324,3195.4992,64.0
256,11,1,27,7,3,2007.0,3,0,75.4584,0.0,0,1377.936,64.0
257,19,1,2,7,3,1975.0,3,0,88.5816,0.0,27.340324,3195.4992,64.0
258,19,1,20,7,3,2001.0,3,39,246.06,0.0,85.127827,5311.6152,63.9
259,19,1,19,7,6,2007.0,3,21,114.828,2.0,45.981454,1811.0016,63.8
260,13,1,51,7,3,0,0,22,65.616,0.0,46.602825,1486.2024,63.8
261,19,1,36,11,3,1999.0,3,97,101.7048,0.0,51.573793,3900.8712,63.7
262,19,1,3,7,6,1994.0,3,0,104.9856,5.0,49.70968,2700.0984,63.3
263,19,1,3,7,6,0,3,59,150.9168,7.0,62.758471,3986.172,63.1
264,19,1,51,7,6,1999.0,13,59,78.7392,3.0,59.651616,3369.3816,63.0
265,6,1,30,7,3,2011.0,3,0,72.1776,0.0,43.49597,1541.976,63.0
266,19,1,38,7,3,1996.0,13,45,75.4584,4.0,54.059277,2706.66,62.9
267,19,1,3,7,6,1997.0,3,0,108.2664,5.0,50.331051,2562.3048,62.3
268,4,1,23,7,3,2009.0,3,0,32.808,0.0,0,984.24,62.3
269,19,1,19,7,3,2012.0,3,21,101.7048,1.0,52.195164,1246.704,62.2
270,19,1,3,7,6,1996.0,3,0,144.3552,4.0,60.272987,3897.5904,62.1
271,19,1,3,7,6,1999.0,3,0,108.2664,2.0,54.059277,2998.6512,62.0
272,9,1,19,7,6,2011.0,13,21,141.0744,7.0,62.1371,3280.8,61.9
273,19,1,2,7,6,1993.0,3,0,78.7392,0.0,50.952422,2349.0528,61.8
274,19,1,5,11,3,2000.0,3,97,114.828,0.0,57.787503,4041.9456,61.8
275,7,1,32,7,3,2011.0,13,76,78.7392,3.0,49.70968,1509.168,61.8
276,19,1,46,7,3,1978.0,3,59,114.828,2.0,59.651616,3599.0376,61.5
277,7,1,57,7,3,2010.0,3,0,72.1776,0.0,52.816535,1738.824,61.4
278,19,1,23,7,6,2008.0,13,80,180.444,0.0,70.214923,705.372,61.3
279,7,1,10,11,3,2008.0,3,97,98.424,0.0,55.92339,2821.488,61.3
280,19,1,36,11,3,1995.0,3,97,101.7048,0.0,50.331051,3457.9632,61.1
281,19,1,51,7,3,2014.0,3,67,0,0.0,0,0,61.1
282,5,1,32,7,3,2008.0,3,0,55.7736,0.0,37.28226,1377.936,60.8
283,18,1,19,7,6,2006.0,3,21,114.828,2.0,59.030245,2001.288,60.8
284,10,1,46,7,3,1983.0,16,59,88.5816,0.0,49.70968,2985.528,60.7
285,19,1,3,7,2,2002.0,3,0,104.9856,2.0,50.952422,2755.872,60.7
286,4,1,57,7,3,0,3,31,0,0.0,0,0,60.6
287,9,1,49,7,6,1994.0,2,0,98.424,3.0,43.49597,1181.088,60.4
288,5,1,23,7,3,2003.0,13,80,98.424,0.0,43.49597,229.656,60.1
289,19,1,18,11,3,2009.0,3,97,101.7048,0.0,50.952422,3074.1096,60.0
290,18,1,19,7,6,2009.0,3,21,101.7048,3.0,55.302019,2362.176,59.9
291,7,1,19,7,3,1998.0,3,4,52.4928,0.0,31.06855,1574.784,59.7
292,16,1,23,7,6,2009.0,10,0,118.1088,0.0,37.28226,820.2,59.7
293,18,1,51,7,6,1999.0,3,59,150.9168,3.0,59.651616,0,59.6
294,19,1,30,7,3,1998.0,3,100,0,0.0,0,0,59.5
295,6,1,43,7,6,2011.0,3,18,98.424,2.0,41.010486,1377.936,59.5
296,19,1,3,7,6,2008.0,3,0,104.9856,5.0,49.70968,2700.0984,59.5
297,19,1,51,7,2,2004.0,3,0,114.828,5.0,50.952422,2765.7144,59.4
298,11,1,32,7,3,2007.0,13,103,49.212,2.0,43.49597,984.24,59.0
299,19,1,21,11,3,2015.0,3,80,65.616,0.0,41.010486,1197.492,58.9
300,6,1,32,7,3,0,3,42,52.4928,0.0,37.903631,1391.0592,58.5
301,1,1,19,7,3,2018.0,3,5,65.616,0.0,34.175405,1640.4,58.3
302,19,1,5,7,3,1995.0,3,0,68.8968,0.0,57.787503,1899.5832,58.2
303,6,1,35,7,3,2005.0,3,101,49.212,0.0,0,1246.704,58.2
304,19,1,2,4,3,1978.0,3,0,124.6704,0.0,59.651616,3936.96,58.0
305,7,1,30,7,3,0,15,22,85.3008,0.0,37.28226,3024.8976,57.8
306,1,1,19,7,3,2011.0,3,0,55.7736,0.0,34.175405,1312.32,57.4
307,19,1,3,7,6,1999.0,3,0,104.9856,5.0,50.331051,2700.0984,57.3
308,6,1,51,7,6,0,13,60,78.7392,3.0,57.166132,3402.1896,56.9
309,18,1,46,7,3,1987.0,3,0,49.212,0.0,40.389115,1837.248,56.8
310,16,0,23,7,6,2005.0,12,76,78.7392,2.0,46.602825,1443.552,56.7
311,19,1,18,11,3,2006.0,3,97,88.5816,0.0,47.845567,2828.0496,56.5
312,19,1,51,7,6,2012.0,2,72,190.2864,3.0,65.865326,1204.0536,56.5
313,16,1,19,7,3,2003.0,3,4,68.8968,0.0,34.175405,1410.744,56.2
314,11,1,19,7,3,2012.0,3,0,49.212,0.0,0,1181.088,55.9
315,3,1,51,7,3,2005.0,0,0,101.7048,0.0,0,3451.4016,55.6
316,7,1,46,7,3,1979.0,3,59,85.3008,1.0,49.088309,2431.0728,55.5
317,18,1,19,7,3,2006.0,3,4,55.7736,0.0,31.06855,1476.36,55.2
318,19,1,23,11,3,1981.0,3,97,124.6704,0.0,65.865326,4648.8936,55.2
