Name,Theirs,Ours
232,34.0,54.90365982055664
233,32.1,48.811527252197266
234,32.0,26.87364959716797
235,30.9,38.95015335083008
236,30.8,27.82848358154297
237,30.8,30.98780059814453
238,30.8,57.63405990600586
239,30.6,43.16057586669922
240,28.2,29.95566749572754
241,28.1,26.9106388092041
242,26.8,27.94733428955078
243,26.6,29.873538970947266
244,26.2,64.03105926513672
245,25.6,25.463668823242188
246,24.9,45.76458740234375
247,24.8,26.95577049255371
248,24.8,36.446617126464844
249,24.4,16.312328338623047
250,23.9,14.411184310913086
251,23.7,41.13630676269531
252,23.6,23.566646575927734
253,23.2,23.491788864135742
254,23.2,21.413904190063477
255,22.6,38.994659423828125
256,22.4,10.579647064208984
257,22.2,13.614900588989258
258,22.1,33.29834747314453
259,22.0,24.908327102661133
260,21.8,24.030170440673828
261,21.6,29.873538970947266
262,20.6,33.070091247558594
263,20.2,24.05083465576172
264,20.2,19.466094970703125
265,19.9,23.229816436767578
266,19.8,26.49368667602539
267,19.7,29.711929321289062
268,19.5,19.7135009765625
269,19.2,28.404521942138672
270,18.7,37.578887939453125
271,18.5,25.989273071289062
272,18.3,26.525745391845703
273,18.2,34.53193664550781
274,17.4,17.82170867919922
275,17.3,19.44121742248535
276,17.0,19.482690811157227
277,16.3,28.543413162231445
278,15.9,23.863431930541992
279,15.6,20.545564651489258
280,15.5,4.745670318603516
281,15.5,29.024337768554688
282,15.3,34.44005584716797
283,14.9,14.240915298461914
284,14.6,6.725759029388428
285,14.6,19.418315887451172
286,14.2,15.484851837158203
287,13.7,18.034412384033203
288,13.0,26.686203002929688
289,12.8,25.948301315307617
290,12.8,4.962924480438232
291,12.6,24.759065628051758
292,12.2,18.625802993774414
293,11.9,21.086271286010742
294,11.9,28.66304588317871
295,11.8,24.00950050354004
296,11.1,20.577789306640625
297,10.9,19.827829360961914
298,10.7,14.002968788146973
299,10.3,25.263362884521484
300,10.3,24.030170440673828
301,10.1,29.862369537353516
302,9.1,26.701757431030273
303,8.2,25.133373260498047
304,7.9,28.732315063476562
305,7.6,13.309036254882812
306,7.0,21.20777702331543
307,6.9,25.5816707611084
308,6.8,8.09961986541748
309,6.7,7.8491363525390625
310,6.5,11.113433837890625
311,6.5,5.133889198303223
312,6.3,5.142336845397949
313,5.8,7.018725395202637
314,5.7,8.873534202575684
315,5.1,9.065277099609375
316,5.0,9.500038146972656
317,5.0,8.624753952026367
318,4.9,4.210287094116211
319,4.2,1.7109447717666626
320,4.0,14.350545883178711
