name score height speed length inversions status park country manufacturer type launch restraint "opening date" type1 train cost "closing date" vr
Xcelerator 92.4 203.4096 82.020972 2201.4168 0 Operating "Knott's Berry Farm" "United States" Intamin Steel "Hydraulic cable launch" "Lap bar" 2002 Rocket NA NA NA NA
Skyrush 92.4 196.848 74.56452 3608.88 0 Operating Hersheypark "United States" Intamin Steel "Cable lift hill" "Shoulder harness" 2012 Megacoaster NA NA NA NA
"Tron Lightcycle Power Run" 92.3 78.7392 59.030245 3182.376 0 Operating "Shanghaï Disneyland" China Vekoma Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 6/16/16 NA Motorbike NA NA NA
Afterburn 92.2 111.5472 62.1371 2952.72 6 Operating Carowinds "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1999 NA Inverted NA NA NA
Tatsu 92.1 170.6016 62.1371 3599.0376 4 Operating "Six Flags Magic Mountain" "United States" B&M Steel "Chain lift hill" "Flying restraint" 2006 NA Flying NA NA NA
"Superman la Atraccion de Acero" 92 164.04 65.243955 3936.96 7 Operating "Parque Warner Madrid" Spain B&M Steel "Chain lift hill" "Shoulder harness" 2002 NA Floorless NA NA NA
"Kingda Ka" 91.9 456.0312 128.002426 3116.76 0 Operating "Six Flags Great Adventure" "United States" Intamin Steel "Hydraulic cable launch" "Shoulder harness" 5/21/05 "Rocket, Strata" NA NA NA NA
Nitro 91.6 229.656 79.535488 5393.6352 0 Operating "Six Flags Great Adventure" "United States" B&M Steel "Chain lift hill" "Lap bar" 4/7/01 Hyper NA NA NA NA
Thunderbird 91.1 141.0744 62.1371 3034.74 4 Operating "Holiday World" "United States" B&M Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 4/25/15 NA Wing NA NA NA
Manta 90.9 141.0744 60.272987 3359.5392 4 Operating "SeaWorld Orlando" "United States" B&M Steel "Chain lift hill" "Flying restraint" 5/22/09 NA Flying NA NA NA
Kawasemi 90.8 104.9856 54.059277 2460.6 0 Operating "Tobu Zoo Park" Japan Intamin Steel "Cable lift hill" Unknown 2008 Megalite NA NA NA NA
Piraten 90.8 104.9856 55.92339 2477.004 0 Operating "Djurs Sommerland" Denmark Intamin Steel "Chain lift hill" "Lap bar" 2008 Megalite NA NA NA NA
GateKeeper 90.5 170.6016 67.108068 4163.3352 6 Operating "Cedar Point" "United States" B&M Steel "Chain lift hill" "Flying restraint" 5/11/13 NA Wing NA NA NA
"Black Mamba" 90.3 85.3008 49.70968 NA 4 Operating Phantasialand Germany B&M Steel "Chain lift hill" "Shoulder harness" 2006 NA Inverted NA NA NA
Do-Dodonpa 90.2 170.6016 106.875812 3900.8712 0 Operating "Fuji-Q Highland" Japan S&S Steel "Compressed air launch" "Lap bar" 2001 "Air Powered" NA NA NA NA
"The Monster" 90.1 137.7936 57.166132 3936.96 6 Operating "Walygator Parc" France B&M Steel "Chain lift hill" "Shoulder harness" 7/9/10 NA Inverted NA NA NA
"Alpina Blitz" 89.9 98.424 62.1371 2624.64 0 Operating Nigloland France Mack Steel "Chain lift hill" "Lap bar" NA Megacoaster "Sit Down" NA NA NA
Alpengeist 89.9 196.848 67.108068 NA 6 Operating "Busch Gardens Williamsburg" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1997 NA Inverted NA NA NA
Troy 89.5 114.828 NA 3280.8 0 Operating Toverland Netherlands GCI Wooden "Chain lift hill" "Lap bar" 2007 Twister NA NA NA NA
"Ravine Flyer II" 89.2 78.7392 56.544761 2900.2272 0 Operating Waldameer "United States" "Gravity Group" Hybrid "Chain lift hill" "Lap bar" 5/17/08 Twister NA NA NA NA
Icon 89.1 88.5816 49.70968 3749.9544 1 Operating "Blackpool Pleasure Beach" "United Kingdom" Mack Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 5/28/18 Looper NA NA NA NA
"Battlestar Galactica - CYLON" 89 137.7936 55.92339 NA 0 Operating "Universal Studios Singapore" Singapore Vekoma Steel "Electrical lift hill" "Shoulder harness" 2010 NA Inverted NA NA NA
Stealth 88.9 206.6904 83.885085 1312.32 0 Operating "Thorpe Park" "United Kingdom" Intamin Steel "Hydraulic cable launch" "Shoulder harness" 2006 Rocket NA NA NA NA
"Superman Krypton Coaster" 88.6 167.3208 70.214923 4025.5416 6 Operating "Six Flags Fiesta Texas" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2000 NA Floorless NA NA NA
Behemoth 88.5 229.656 77.050004 5318.1768 0 Operating "Canada's Wonderland" Canada B&M Steel "Chain lift hill" "Lap bar" 2008 Hyper NA NA NA NA
"Wodan : Timbur Coaster" 88.5 114.828 62.1371 3444.84 0 Operating "Europa Park" Germany GCI Wooden "Chain lift hill" "Lap bar" 2012 Twister NA NA NA NA
