name,park,designer,construction,type,year_opened,g_force,height,inversions,length,speed,angle,train_mfg,drop,launch,max_passenger,duration_sec
Superman Krypton Coaster,Six Flags Fiesta Texas,Bolliger & Mabillard,Steel,Floorless Multielement,2e3,3.8,168,6,NA,70,53,NA,160,NA,NA,120
Superman Ride Of Steel,Six Flags America,Intamin,Steel,Hypercoaster,2e3,NA,197,NA,NA,73,70,NA,205,NA,32,120
Superman The Ride,Six Flags New England,Intamin AG,Steel,Hypercoaster,2e3,NA,208,NA,NA,77,70,Intmain AG,221,NA,32,120
Superman Ultimate Flight,Six Flags Discovery Kingdom,Premier Rides,Steel,Launched Looping,2012,NA,150,1,863,62,NA,NA,NA,NA,12,NA
Superman Ultimate Flight,Six Flags Over Georgia,Bolliger & Mabillard,Steel,"Flying, Multielement",2002,NA,106,2,NA,51,NA,NA,100,NA,28,120
Superman Ultimate Flight,Six Flags Great America,Bolliger & Mabillard,Steel,"Flying, Multielement",2003,NA,115,2,NA,60,NA,Bolliger & Mabillard,109,NA,32,120
Superman Ultimate Flight,Six Flags Great Adventure,Bolliger & Mabillard,Steel,"Flying, Multielement",2003,NA,106,2,NA,51,NA,NA,100,NA,32,180
Superman: Escape From Krypton,Six Flags Magic Mountain,Intamin AG,Steel,Reverse Freefall Shuttle,1997,4.5,415,NA,NA,100,90,NA,328,LSM,16,1800
Swamp Fox,Family Kingdom Amusement Park,"John Allen, Philadelphia Toboggan Co.",Wood,Figure 8,1966,NA,72,NA,NA,50,NA,Philadelphia Toboggan Co.,62,NA,24,NA
Swamp Thing,Wild Adventures,Vekoma International,Steel,Family Inverted,2003,2,48,NA,NA,26,NA,Vekoma,NA,NA,20,60
Swarm,Thorpe Park,Bolliger & Mabillard,Steel,Wing Coaster,2012,NA,127,5,NA,57,NA,NA,NA,NA,NA,NA
Switchback,Gulliver's Kingdom,I.E. Park,Steel,Family Twister,2004,NA,32,NA,764,NA,NA,NA,NA,NA,24,60
Switchback,ZDT's Amusement Park,"The Gravity Group, LLC",Wood,Shuttle,2015,NA,64,NA,NA,41,87,"The Gravity Group, LLC",56,NA,8,NA
T Express,Everland,Intamin AG,Wood,Triple Out and Back,2008,NA,183,NA,NA,65,77,Intamin AG,151,NA,36,NA
T3,Kentucky Kingdom,Vekoma,Steel,Suspended Looping,1995,NA,102,5,NA,50,NA,KumbaK,86,NA,14,60
Talon,Dorney Park & Wildwater Kingdom,Bolliger & Mabillard,Steel,Inverted Multielement,2001,NA,135,4,NA,58,50,Bolliger & Mabillard,120,NA,32,NA
Tami-Tami,PortAventura,Vekoma,Steel,"Junior, Twister",1998,NA,28,NA,679,25,NA,Vekoma,20,NA,14,NA
Tantrum,Darien Lake,Gerstlauer,Steel,Euro-Fighter,2018,NA,100,1,NA,52,95,NA,NA,NA,8,60
Tasmanian Tiger Family Coaster,Lowry Park Zoo,Wisdom,Steel,Junior Oval,1998,NA,11,NA,280,NA,NA,Wisdom,8,NA,14,NA
Tatsu,Six Flags Magic Mountain,Bolliger & Mabillard,Steel,Flying Multielement Terrain,2006,NA,170,4,NA,62,NA,NA,111,NA,32,180
Taxi Jam,California's Great America,"Miler Coaster, Inc.",Steel,Junior Oval,1999,NA,8,NA,288,NA,NA,Miler,8,NA,12,NA
Taxi Jam,Canada's Wonderland,"Miler Coaster, Inc.",Steel,"Junior, Oval",1998,NA,8,NA,205,10,NA,"Miler Coaster, Inc.",8,NA,12,NA
Technic Coaster,LEGOLAND California,Mack,Steel,Wild Mouse,2001,NA,52,NA,NA,35,NA,NA,50,NA,4,NA
Teddy Bear,Stricker's Grove,Ralph Stricker,Wood,Junior Figure 8,1996,NA,28,NA,700,NA,NA,Philadelphia Toboggan Co.,20,NA,16,60
Teeny-Weeny,TusenFryd,SBF Visa Group,Steel,Junior Oval,1996,NA,5,NA,NA,NA,NA,NA,4,NA,8,960
Tempesto,Busch Gardens Williamsburg,Premier Rides,Steel,Launched Looping,2015,NA,150,1,863,62,NA,NA,NA,LSM,18,NA
Temple of the Night Hawk,Phantasialand,Vekoma,Steel,Indoor Freeform,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,240
Tennessee Tornado,Dollywood,Arrow Dynamics,Steel,Multielement Terrain,1999,4,137,3,NA,63,NA,NA,128,NA,28,60
Texas Cyclone,Six Flags Astroworld,William Cobb,Wood,Twister,1976,NA,93,NA,NA,60,53,Morgan Manufacturing,86,NA,24,120
Texas Giant,Six Flags Over Texas,Curtis D. Summers,Wood,Twister,1990,2.7,143,NA,NA,62,53,Philadelphia Toboggan Co.,137,NA,24,120
Texas Tornado,Wonderland Park,O.D. Hopkins,Steel,Looping,1985,NA,80,2,NA,50,NA,NA,80,NA,20,NA
The Barnstormer,Disney's Magic Kingdom,Vekoma International,Steel,Junior Twister,1996,NA,28,NA,790,25,NA,"Vekoma, WED",20,NA,16,60
The Bat,Canada's Wonderland,Vekoma International,Steel,"Boomerang, Multielement Shuttle",1987,5.2,125,6,875,50,NA,Arrow Dynamics,117,NA,28,60
The Bat,Kings Island,Arrow Dynamics,Steel,Suspended,1993,NA,98,NA,NA,51,NA,NA,78,NA,28,60
The Beast,Kings Island,"Charlie Dinn, Kings Island Construction",Wood,Terrain,1979,3.1,110,NA,NA,64.8,45,Philadelphia Toboggan Co.,135,NA,36,240
The Boss,Six Flags St. Louis,"Custom Coasters, Inc.",Wood,Terrain,2e3,3,122,NA,NA,66.3,52,Gerstlauer,150,NA,24,180
The Brat,Erieview Park,Schiff,Steel,"Junior, Oval",1961,NA,7,NA,280,NA,NA,Schiff,6,NA,12,NA
The Dark Knight,Six Flags Great America,Mack,Steel,Indoor Wild Mouse,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,120
The Dark Knight,Six Flags Mexico,Mack,Steel,Indoor Wild Mouse,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,120
The Dark Knight,Six Flags Great Adventure,Mack,Steel,Indoor Wild Mouse,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,120
The Fly,Canada's Wonderland,Mack,Steel,Wild Mouse,1999,NA,54,NA,NA,35,NA,Mack,50,NA,4,NA
The Fort Roller Coaster,YesterLand Farm,Allan Herschell,Steel,Junior Oval,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
The Great Chase,Six Flags New England,"Miler Coaster, Inc.",Steel,"Junior, Oval",1996,NA,16,NA,337,12,NA,NA,13,NA,12,NA
The Great Chase,Six Flags America,Zamperla,Steel,Junior,1999,NA,15,NA,280,6,NA,Zamperla,10,NA,12,NA
The Legend,Arnolds Park,"John A. Miller, John F. Pierce, Harry Baker",Wood,Freeform Figure 8,1927,NA,63,NA,NA,50,NA,Philadelphia Toboggan Co.,63,NA,18,60
The Legend,Holiday World & Splashin' Safari,"Custom Coasters, Inc.",Wood,Freeform,2e3,NA,99,NA,NA,59,52,Philadelphia Toboggan Co.,116,NA,24,120
The Log,Gulliver's Kingdom,Cavazza Diego,Steel,Family,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
The Monster,Adventureland,Gerstlauer,Steel,Multielement Looping,2016,NA,133,5,NA,NA,101,Gerstlauer,NA,NA,8,60
The Nightmare,Joyland Amusement Park,"Herb Schmeck, John Allen, PTC",Wood,Out and Back,1949,NA,70,NA,NA,50,NA,Philadelphia Toboggan Co.,76,NA,18,NA
The Outlaw,Adventureland,"Custom Coasters, Inc.",Wood,Twister,1993,3.2,70,NA,NA,48,NA,Philadelphia Toboggan Co.,67,NA,24,120
The Rattler,Six Flags Fiesta Texas,John F. Pierce,Wood,Terrain,1992,3.6,180,NA,NA,65,61,Philadelphia Toboggan Co.,124,NA,20,120
The Riddler Revenge,Six Flags New England,Vekoma,Steel,Suspended Looping,1997,NA,105,5,NA,50,NA,NA,86,NA,20,60
The Riddler's Revenge,Six Flags Magic Mountain,Bolliger & Mabillard,Steel,Stand-Up Multielement,1998,4.2,156,6,NA,65,NA,NA,146,NA,32,180
The Spider,Lagoon,Maurer Söhne,Steel,Spinning Coaster,2003,NA,53,NA,NA,38,50,NA,NA,NA,4,60
The Villain,Geauga Lake's Wildwater Kingdom,"Custom Coasters, Inc.",Wood,Double Out and Back,2e3,NA,108,NA,NA,59,NA,Gerstauler,118,NA,24,NA
The Voyage,Holiday World & Splashin' Safari,"The Gravity Group, LLC",Wood,Out and Back,2006,NA,163,NA,NA,67.4,66,Philadelphia Toboggan Co.,154,NA,28,120
Thirteen,Alton Towers,Intamin,Steel,"Freeform, Freefall Drop",2010,3,60,NA,NA,41,NA,NA,56,NA,NA,NA
Thriller,Land of Make Believe & Pirates Cove,"Miler Coaster, Inc.",Steel,"Junior, Oval",1994,NA,10,NA,220,8,NA,NA,9,NA,12,NA
Thriller,Sports Plus,Wisdom Rides,Steel,Indoor Family,2004,NA,25,NA,700,NA,NA,NA,NA,NA,16,NA
Thunder,Nasu Highland Park,"Arrow Dynamics, Meisho",Steel,Corkscrew,1979,3.6,NA,2,NA,39,NA,NA,NA,NA,NA,60
Thunder Dolphin,Tokyo Dome City (LaQua),Intamin AG,Steel,Hypercoaster,2003,NA,262.5,NA,NA,81,80,NA,218,NA,24,60
Thunder Eagle,Race World,"The Coaster Works, Bill Kelley",Wood,Double Out and Back,2e3,NA,70,NA,NA,NA,NA,Philadelphia Toboggan Co.,50,NA,30,NA
Thunder Mountain,Flamingo Land Theme Park & Zoo,Pinfari,Steel,Indoor Galaxi,1991,NA,NA,NA,NA,NA,NA,Pinfari,NA,NA,NA,NA
Thunder Rail,Hamel's Amusement Park,Pinfari,Steel,Galaxi,1992,NA,45,NA,NA,35,NA,NA,NA,NA,NA,NA
Thunder Road,Carowinds,Curtis D. Summers,Wood,Out and Back Racer,1976,NA,93,NA,NA,57,NA,Philadelphia Toboggan Co.,88,NA,24,120
Thunder Run,Kentucky Kingdom,"Curtis D. Summers, John Fetterman",Wood,Triple Out and Back,1990,NA,88,NA,NA,NA,NA,Philadelphia Toboggan Co.,78,NA,24,60
Thunder Run,Canada's Wonderland,"Mack, Blauer Enzian",Steel,"Mine Train, Powered",1981,NA,33,NA,NA,40,NA,NA,NA,NA,40,60
Thunderation,Silver Dollar City,Arrow Dynamics,Steel,Mine Train,1993,NA,110,NA,NA,48,NA,NA,81,NA,NA,120
Thunderbird,Holiday World & Splashin' Safari,Bolliger & Mabillard,Steel,"Wing Coaster, Terrain",2015,NA,140,4,NA,60,NA,NA,NA,LSM,20,60
Thunderbolt,Kennywood,Andy Vettel,Wood,Double Out and Back,1924,NA,70,NA,NA,55,NA,National Amusement Devices,90,NA,24,60
Thunderbolt,Celebration City,SDC,Steel,Twister,1999,NA,59,NA,NA,25,NA,NA,30,NA,12,NA
Thunderbolt,Six Flags New England,"Joseph E. Drambour, Riverside Park",Wood,Figure 8,1941,NA,70,NA,NA,40,NA,Philadelphia Toboggan Co.,70,NA,24,NA
Thunderbolt,Luna Park,Zamperla,Steel,Looping,2014,4.3,115,3,NA,56,90,NA,NA,NA,9,NA
Thunderbolt Express,Camden Park,Arrow Dynamics,Steel,Shuttle Loop,1988,4,56,2,635,45,NA,NA,47,Catapult,20,60
Thundercoaster,TusenFryd,Vekoma,Wood,Twister,2001,NA,NA,NA,NA,58,57.3,Vekoma,105,NA,24,120
Thunderhawk,Michigan's Adventure,Vekoma,Steel,Suspended Looping,2008,NA,105,5,NA,50,NA,Vekoma,86,NA,20,120
Thunderhawk,Dorney Park & Wildwater Kingdom,"Herbert Schmeck, PTC",Wood,Out and Back,1924,NA,80,NA,NA,45,NA,Philadelphia Toboggan Co.,65,NA,24,60
Thunderhawk,Geauga Lake's Wildwater Kingdom,Vekoma,Steel,Suspended Looping,1998,NA,105,5,NA,50,NA,Vekoma,86,NA,20,NA
Thunderhead,Dollywood,"Great Coasters International, Mike Boodley",Wood,Twister,2004,NA,NA,NA,NA,55,NA,Great Coasters,100,NA,24,120
Tickler,Luna Park,Zamperla,Steel,Spinning Wild Mouse,2010,NA,NA,NA,1378,NA,NA,NA,NA,NA,NA,NA
Tidal Wave,Trimper's Rides,Vekoma,Steel,"Boomerang, Multielement Shuttle",1986,5.2,125,6,875,48,NA,Arrow Dynamics,125,NA,24,3e3
Tidal Wave,Cherry Valley Golf & Games,Molina & Sons,Steel,Junior Oval,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
Tig'rr Coaster,Indiana Beach,Anton Schwarzkopf,Steel,"Jet Star, Twister",1984,NA,44,NA,NA,31,NA,NA,40,NA,4,NA
Tiger Express,Oakland Zoo,Wisdom,Steel,"Junior, Oval",1999,NA,18,NA,450,NA,NA,NA,15,NA,14,NA
Tiger Mike,Boomers! Fountain Valley,Wisdom Rides,Steel,Junior Oval,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
Tiger Terror,Safari Land,Wisdom Rides,Steel,Indoor Family,2002,NA,22,NA,NA,NA,NA,NA,20,NA,14,2700
Tiger Terror,Wild Adventures,Wisdom,Steel,Junior Oval,1998,NA,11,NA,280,NA,NA,Wisdom,8,NA,14,NA
Tiger Terror,Route 66 Carousel Park,Wisdom Rides,Steel,Junior Oval,2002,NA,12,NA,NA,NA,NA,NA,NA,NA,14,NA
Tiger Trax,Como Town,SBF Visa Group,Steel,Zyklon-Galaxi,2015,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,60
Timber Terror,Silverwood Theme Park,"Custom Coasters, Inc.",Wood,Out and Back,1996,NA,85,NA,NA,45,NA,Philadelphia Toboggan Co.,81,NA,24,60
Timber Twister,Gilroy Gardens Family Theme Park,Zierer,Steel,Family Twister,2001,NA,26,NA,655,21,NA,NA,25,NA,26,3e3
Timber Wolf,Worlds of Fun,"Curtis D. Summers, Dinn Corporation",Wood,Freeform,1989,2.8,100,NA,NA,53,NA,Philadelphia Toboggan Co.,95,NA,24,120
Timberline Twister,Knott's Berry Farm,Bradley and Kaye,Steel,Junior,1983,NA,30,NA,480,NA,NA,NA,10,NA,18,3300
Timberwawk,Wild Waves & Enchanted Forest,S&S Power,Wood,Twister,2003,NA,75,NA,NA,50,NA,Philadelphia Tobaggan Co.,NA,NA,24,NA
Time Machine,Freestyle Music Park,Bolliger & Mabillard,Steel,Multielement Looping,2008,NA,155,6,NA,64.3,NA,NA,150,NA,32,NA
Time Traveler,Silver Dollar City,Mack,Steel,Launched Spinning,2018,NA,NA,3,NA,50,90,NA,100,NA,NA,NA
Time Warp,Canada's Wonderland,Zamperla,Steel,"Flying, Volare",2004,3.3,50,2,NA,26,NA,NA,NA,NA,4,2880
Tiny Toot,Silverwood Theme Park,Zamperla,Steel,Junior Oval Powered,1998,NA,NA,NA,NA,NA,NA,Zamperla,NA,NA,14,NA
Titan,Six Flags Over Texas,Giovanola,Steel,Hypercoaster,2001,4.5,245,NA,NA,85,65,NA,255,NA,30,180
Tivoli Coaster,Marineland,Zierer,Steel,Junior,1979,NA,20,NA,653,10,NA,Zierer,18,NA,24,NA
Tizona,Terra Mítica,Vekoma,Steel,Suspended Looping,2003,NA,109,5,NA,50,NA,NA,NA,NA,20,60
TL3 Coaster,Adventurers Amusement Park,Pinfari,Steel,"Junior, Figure 8",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
Toboggan,Arnolds Park,"Chance Rides, Inc.",Steel,Toboggan,1998,NA,45,NA,450,NA,NA,NA,NA,NA,2,NA
Toboggan,Lakemont Park,"Chance Rides, Inc.",Steel,Toboggan,1971,NA,45,NA,450,NA,NA,Chance Rides,NA,NA,2,NA
Toboggan,Grand Prix Amusements,"Chance Rides, Inc.",Steel,Toboggan,1999,NA,45,NA,450,NA,NA,NA,NA,NA,2,NA
Toboggan,Trimper's Rides,"Chance Rides, Inc.",Steel,Toboggan,NA,NA,45,NA,450,NA,NA,Chance Rides,NA,NA,NA,NA
Toboggan Nordique,La Ronde,Zamperla,Steel,Wild Mouse,2005,NA,41,NA,886,11.2,NA,NA,NA,NA,NA,NA
Tom y Jerry,Parque Warner Madrid,Zierer,Steel,Junior Double Figure 8,2002,NA,26,NA,NA,22,NA,NA,NA,NA,40,NA
Tomahawk,PortAventura,"Custom Coasters, Inc.",Wood,Junior Double Out and Back,1997,NA,44,NA,NA,30,NA,Philadelphia Toboggan Co.,48,NA,20,NA
Tonnerre de Zeus,Parc Astérix,"Custom Coasters, Inc.",Wood,Double Out and Back,1997,NA,98,NA,NA,52,NA,Philadelphia Toboggan Co.,99,NA,28,NA
Top Thrill Dragster,Cedar Point,Intamin AG,Steel,Launched Out and Back,2003,NA,420,NA,NA,120,90,Intamin,400,Hydraulic,18,NA
Topozorro,Cavallino Matto,,Steel,Family,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tornado,Stricker's Grove,Ralph Stricker,Wood,Double Out and Back,1993,NA,55,NA,NA,NA,NA,Philadelphia Toboggan Co.,50,NA,18,60
Tornado,Bakken,Intamin AG,Steel,Spinning Twister,2009,NA,33,NA,984,NA,NA,NA,NA,NA,NA,NA
Tornado,Adventureland,William Cobb,Wood,Out and Back,1978,NA,90,NA,NA,55,NA,Philadelphia Toboggan Co.,76,NA,24,NA
Tornado,Jenkinson's Boardwalk,Zamperla,Steel,Junior Oval,NA,NA,NA,NA,223,17,NA,NA,NA,NA,24,NA
Toronto Island Monster,Centreville Amusement Park,Zamperla,Steel,Junior Powered,1984,NA,15,NA,248,8,NA,Zamperla,12,NA,20,NA
Tower of Terror,Dreamworld,Intamin AG,Steel,"Reverse Freefall, Launched Shuttle",1997,4.5,377,NA,NA,100,90,Intamin,328,LSM,15,1680
Trace du Hourra,Parc Astérix,Mack GmbH,Steel,Bobsled,2001,NA,100,NA,NA,40,NA,Mack GmbH,NA,NA,NA,NA
Trailblazer,Hersheypark,Arrow Dynamics,Steel,Mine Train,1974,NA,43,NA,NA,35,NA,NA,NA,NA,30,60
Trans'Averne,Parc Astérix,Zierer,Steel,"Family, Tivoli",1990,NA,26,NA,NA,18,NA,Zierer,25,NA,40,NA
Traumatizer,Pleasureland Southport,Vekoma,Steel,Suspended Looping,1999,4.5,109,5,NA,49,NA,NA,NA,NA,16,60
Tree Top Racers,Adventure City,"Miler Coaster, Inc.",Steel,Wild Mouse,1999,NA,35,NA,907,17,NA,"Miler Coaster, Inc.",15,NA,2,60
Tree Topper,Upper Clements Park,William Cobb,Wood,Terrain,1989,NA,52,NA,NA,35,NA,Philadelphia Toboggan Co.,50,NA,20,60
Treetops Coaster,Oakwood Theme Park,Zierer,Steel,"Family, Double Figure 8",1989,NA,26,NA,NA,22,NA,NA,NA,NA,40,NA
Tremors,Silverwood Theme Park,"Custom Coasters, Inc.",Wood,Twister,1999,2.5,85,NA,NA,50,NA,Philadelphia Toboggan Co.,99,NA,28,60
Tron Lightcycles Power Run,Disneyland Shanghai,"Walt Disney Imagineering, Vekoma",Steel,Motorbike,2016,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA
Troublesome Trucks Runaway Coaster,Edaville USA,Zamperla,Steel,Family Figure-8,2015,NA,29.5,NA,574,19,NA,NA,NA,NA,24,NA
Troy,Toverland,Great Coasters International,Wood,Twister,2007,2.4,110,NA,NA,56,NA,Great Coasters International,NA,NA,24,60
Tsunami,Six Flags Mexico,Zierer,Steel,Junior Twister,1981,NA,26,NA,NA,22,NA,Zierer,25,NA,30,NA
Turbo,Brighton Pier,Pinfari,Steel,Looping Zyklon,1997,NA,36,NA,NA,NA,NA,Pinfari,NA,NA,12,60
Turbulence,Adventureland,Mack Rides GmbH,Steel,Spinning Twister,2015,NA,44,NA,NA,40,NA,NA,NA,NA,12,NA
Twist 'n' Shout,Family Kingdom Amusement Park,Zamperla,Steel,Wild Mouse,2013,NA,38,NA,885,25,NA,NA,15,NA,4,NA
Twist 'n' Shout,Magic Springs & Crystal Falls,Zamperla,Steel,Wild Mouse,2e3,NA,38,NA,885,25,NA,NA,15,NA,4,NA
Twisted Colossus,Six Flags Magic Mountain,"Rocky Mountain Construction, Alan Schilke",Steel,Multielement Hybrid Racer,2015,NA,121,2,NA,57,80,Rocky Mountain Construction,128,NA,24,180
Twisted Cyclone,Six Flags Over Georgia,Rocky Mountain Construction,Steel,Multielement Hybrid Twister,2018,NA,100,3,NA,50,75,Rocky Mountain Construction,NA,NA,24,NA
Twisted Timbers,Kings Dominion,Rocky Mountain Construction,Steel,Multielement Hybrid,2018,NA,NA,3,NA,54,NA,Rocky Mountain Construction,109,NA,24,NA
Twisted Twins,Kentucky Kingdom,"Custom Coasters, Inc.",Wood,"Dueling, Twister",1998,NA,72,NA,NA,41,NA,Gerstlauer,74,NA,28,NA
Twisted Typhoon,Wild Adventures,Vekoma,Steel,Suspended Looping,1999,NA,105,5,NA,49.7,NA,Vekoma,86,NA,20,60
Twister,Lightwater Valley,Reverchon,Steel,Spinning Wild Mouse,2001,2.5,43,NA,NA,29,NA,NA,NA,NA,NA,60
Twister,Knoebels Amusement Park,"John Fetterman, Knoebels",Wood,Twister,1999,NA,102,NA,NA,52,NA,Philadelphia Toboggan Co.,90,NA,24,120
Twister,Gröna Lund,"The Gravity Group, LLC",Wood,Twister,2011,3,51,NA,NA,38,56,"The Gravity Group, LLC",49,NA,12,NA
Twister II,Elitch Gardens,John F. Pierce,Wood,Twister,1995,3.1,100,NA,NA,55,NA,Philadelphia Toboggan Co.,80,NA,24,NA
Twistosaurus,Flamingo Land Theme Park & Zoo,Zamperla,Steel,Junior Spinning Twister,2013,NA,26,NA,574,17,NA,NA,NA,NA,16,NA
Two-Face The Flip Side,Six Flags America,Vekoma,Steel,Inverted Multielement Shuttle,1999,5,161,6,NA,50,NA,Vekoma,138,NA,28,60
Typhoon,Bobbejaanland,Gerstlauer,Steel,Euro-Fighter,2004,5,84,4,NA,50,97,NA,NA,NA,8,60
Typhoon,Santa's Village Azoosment Park,Top Fun,Steel,Looping,1998,NA,63,1,NA,45,NA,Top Fun,55,NA,12,NA
Ultimate,Lightwater Valley,Big Country Motioneering,Steel,Terrain,1991,NA,107,NA,NA,50,NA,NA,NA,NA,38,NA
Ultra Twister,Six Flags Astroworld,Togo,Steel,"Pipeline, Multielement",1987,NA,96.8,3,NA,44,87,NA,92,NA,6,60
Ultra Twister,Nagashima Spa Land,Togo,Steel,Pipeline,1984,NA,96.8,3,NA,44,85,Togo,92,NA,NA,60
Underground,Adventureland,"Custom Coasters, Inc., Larry Bill, Dennis McNulty",Wood,Indoor Freeform,1996,NA,13,NA,911,NA,NA,Philadelphia Toboggan Co.,NA,NA,28,NA
Undertow,Santa Cruz Beach Boardwalk,Maurer Söhne,Steel,Spinning,2013,NA,50,NA,NA,40,NA,NA,NA,NA,4,NA
Untamed,Canobie Lake Park,Gerstlauer,Steel,Euro-Fighter,2011,4.5,72,3,NA,44,97,NA,NA,NA,8,NA
V2 Vertical Velocity,Six Flags Discovery Kingdom,Intamin,Steel,"Suspended Impulse, Shuttle",2001,NA,150,NA,630,65,90,Intamin,NA,LIM,28,NA
V2 Vertical Velocity,Six Flags Great America,Intamin AG,Steel,"Suspended Impulse, Shuttle",2001,NA,185,NA,630,70,90,Intamin AG,NA,LIM,28,NA
Valkyria,Liseberg,Bolliger & Mabillard,Steel,Dive Coaster,2018,NA,154,3,NA,65,NA,NA,164,NA,18,NA
Valravn,Cedar Point,Bolliger & Mabillard,Steel,"Dive Coaster, Multielement",2016,NA,223,3,NA,75,90,Bolliger & Mabillard,214,NA,24,NA
Vampire,La Ronde,Bolliger & Mabillard,Steel,Inverted Multielement,2002,NA,105,5,NA,50,NA,Bolliger & Mabillard,87,NA,32,NA
Vampire,Walibi Belgium,Vekoma,Steel,Suspended Looping,1999,NA,109,5,NA,49,NA,NA,NA,NA,20,60
Vampire,Chessington World of Adventures,Arrow Dynamics,Steel,Suspended,1990,NA,NA,NA,NA,45,NA,Vekoma,NA,NA,24,NA
Van Helsing's Factory,Movie Park Germany,Gerstlauer,Steel,Indoor,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vapor Trail,Sesame Place,Vekoma,Steel,Freeform Family,1998,NA,43,NA,NA,27,NA,NA,56,NA,20,60
Velocity,Flamingo Land Theme Park & Zoo,Vekoma,Steel,Motorbike,2005,NA,57,NA,NA,54,NA,NA,NA,NA,16,NA
Verbolten,Busch Gardens Williamsburg,Zierer,Steel,Launched,2012,NA,NA,NA,NA,53,NA,NA,88,LSM,NA,180
Verrazano Viper,Fantasy Shore Amusement Park,E&F Miler Industries,2014,Junior Oval,2014,NA,6,NA,181,8,NA,NA,5,NA,10,NA
Vertigo,Walibi Belgium,Doppelmayr,Steel,Suspended Glider,2007,3,180.5,NA,NA,37,20,NA,NA,NA,4,60
Viking Voyage,Wild Adventures,"Miler Coaster, Inc.",Steel,Triple Out and Back,2010,NA,52,NA,NA,40,NA,NA,45,NA,6,60
Vikingar,Pleasure Beach Blackpool,,Wood,"Water Coaster, Side-Friction",1980,NA,70,NA,NA,NA,NA,NA,NA,NA,6,NA
Vild-Svinet,BonBon-Land,Gerstlauer,Steel,Euro-Fighter,2003,NA,72,1,NA,45,97,NA,NA,NA,8,60
Vilda Musen (Wild Mouse),Gröna Lund,Gerstlauer,Steel,Bobsled,2003,NA,69,NA,NA,34,40,NA,NA,NA,4,60
Viper,Six Flags Great America,"Delmas Sevier, Six Flags, Dennis Starkey",Wood,Twister,1995,NA,100,NA,NA,50,53,Philadelphia Toboggan Co.,80,NA,30,60
Viper,Six Flags Great Adventure,Togo,Steel,"Multielement, Twister",1995,NA,89,2,NA,48,NA,Togo,85,NA,16,NA
Viper,Six Flags Magic Mountain,Arrow Dynamics,Steel,"Multielement, Double Out and Back",1990,NA,188,7,NA,73,NA,NA,173,NA,28,120
Viper,Six Flags Astroworld,Schwarzkopf,Steel,"Looping, Figure 8",1989,NA,80.4,1,NA,47.8,NA,NA,90,NA,28,60
Viper,Darien Lake,Arrow Dynamics,Steel,Multielement Looping,1982,NA,121,5,NA,50,NA,NA,75,NA,28,120
Vliegende Hollander,Efteling,Kumbak,Steel,Water Coaster,2007,3,74,NA,NA,43.5,NA,NA,NA,NA,14,180
Vogel Rok,Efteling,Vekoma,Steel,Enclosed Freeform,1998,NA,82,NA,NA,40,NA,NA,62,NA,28,60
Vol d'lcare,Parc Astérix,Zierer,Steel,Twister,1994,NA,35,NA,NA,39,NA,Zierer,NA,NA,NA,NA
Volare,Wiener Prater,Zamperla,Steel,"Flying, Volare",2004,4,69,2,NA,31,NA,NA,NA,NA,4,60
Volcano The Blast Coaster,Kings Dominion,Intamin AG,Steel,Launched Inverted Multielement,1998,NA,155,4,NA,70,NA,NA,80,LIM,16,60
Vortex,Carowinds,Bolliger & Mabillard,Steel,"Stand-Up, Multielement",1992,NA,91,2,NA,50,NA,NA,80,NA,24,120
Vortex,California's Great America,Bolliger & Mabillard,Steel,Stand-Up,1991,NA,91,2,NA,45,NA,NA,80,NA,28,120
Vortex,Kings Island,Arrow Dynamics,Steel,Multielement,1987,NA,148,6,NA,55,55,Arrow,138,NA,28,120
Vortex,Canada's Wonderland,Arrow Dynamics,Steel,"Suspended, Freeform",1991,NA,90,NA,NA,55,NA,Arrow Dynamics,86,NA,24,60
Vortex,Calaway Park,Arrow Dynamics,Steel,Corkscrew,1982,NA,70,2,NA,45,NA,Arrow Dynamics,65,NA,24,NA
Wacky Mouse,York's Wild Kingdom,Fajume,Steel,Family Figure 8,2010,NA,16,NA,NA,NA,NA,NA,NA,NA,24,NA
Wacky Soap Box Racers,Knott's Berry Farm,Arrow Development,Steel,Quad Steeplechase Racer,1976,NA,27,NA,NA,30,NA,Arrow Development,NA,NA,NA,NA
Wacky Worm,Gillian's Wonderland Pier,Fajume,Steel,Junior Figure 8,2012,NA,14,NA,NA,NA,NA,NA,NA,NA,24,NA
