name,park,designer,construction,type,year_opened,g_force,height,inversions,length,speed,angle,train_mfg,drop,launch,max_passenger,duration_sec
Python Pit,Go-Karts Plus,"Miler Coaster, Inc.",Steel,Junior Oval,2004,NA,13,NA,300,8,NA,NA,12,NA,10,NA
Python Pit,Jeepers! Baltimore,"Miler Coaster, Inc.",Steel,"Junior, Oval",1996,NA,8,NA,180,8,NA,"Miler Coaster, Inc.",7,NA,10,NA
Python Pit,Go Bananas,"Miler Coaster, Inc.",Steel,"Junior, Oval",1997,NA,11.5,NA,300,16,NA,"Miler Coaster, Inc.",10,NA,10,NA
Python Pit,Jeepers! Concord Mills,"Miler Coaster, Inc.",Steel,"Junior, Oval",2e3,NA,13,NA,300,8,NA,Miler,12,NA,10,NA
Python Pit,Jeepers! Great Lakes Crossing,"Miler Coaster, Inc.",Steel,"Junior, Oval",1998,NA,11.5,NA,300,10,NA,"Miler Coaster, Inc.",10,NA,10,NA
Python Pit,Jeepers! Gastonia,"Miler Coaster, Inc.",Steel,Junior Oval,2004,NA,13,NA,300,8,NA,NA,12,NA,10,NA
Python Pit,Jeepers! Randal Park,"Miler Coaster, Inc.",Steel,"Junior, Oval",NA,NA,13,NA,300,8,NA,Miler,12,NA,10,NA
Python Pit,Jeepers! Albany,"Miler Coaster, Inc.",Steel,"Junior, Oval",1997,NA,13,NA,300,8,NA,Miler,12,NA,10,NA
Python Pit,Jeepers! Palisades Center,"Miler Coaster, Inc.",Steel,"Junior, Oval",1998,NA,13,NA,300,8,NA,NA,12,NA,10,NA
Python Pit,Jeepers! Northland Mall,"Miler Coaster, Inc.",Steel,"Junior, Oval",2006,NA,13,NA,300,10,NA,NA,12,NA,10,NA
Python Pit,Story Book Park,E&F Miler Industries,Steel,Junior Oval,2014,NA,11.5,NA,NA,NA,NA,NA,NA,NA,10,NA
Python Pit,Jeepers! Rockville,"Miler Coaster, Inc.",Steel,Junior Oval,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Python Pit,Amusement Park at Heritage Square,"Miler Coaster, Inc.",Steel,Junior,2007,NA,10,NA,NA,NA,NA,NA,NA,NA,10,NA
Python Pit,Jeepers! Roseville,"Miler Coaster, Inc.",Steel,"Junior, Oval",1997,NA,13,NA,300,10,NA,"Miler Coaster, Inc.",12,NA,10,NA
Quantum Loop,Seabreeze Amusement Park,Soquet,Steel,Looping Twister,1994,NA,59,2,NA,NA,NA,Soquet,57,NA,24,NA
Queen Bee,Botton's Pleasure Beach,Pinfari,Steel,Junior Inverted,2002,NA,23,NA,410,13,NA,NA,NA,NA,NA,NA
Quicksilver Express,Gilroy Gardens Family Theme Park,Morgan Manufacturing,Steel,Mine Train,2001,NA,60,NA,NA,38,NA,Morgan Manufacturing,NA,NA,30,60
Rabalder,Liseberg,Zierer,Steel,Family,2009,2.5,30,NA,728,24,NA,NA,NA,NA,20,NA
Racer,Kings Island,"John Allen, PTC",Wood,Out and Back Racer,1972,NA,88,NA,NA,53.3,50,Philadelphia Toboggan Co.,83,NA,30,120
Racer,Kennywood,John A. Miller,Wood,"Mobius Racer, Figure 8",1927,NA,72,NA,NA,40,NA,Philadelphia Toboggan Co.,50,NA,24,60
Racing,Bakken,Zierer,Steel,Twister,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rage,Adventure Island,Gerstlauer,Steel,Euro-Fighter,2007,4.5,72,3,NA,44,97,NA,NA,NA,8,NA
Ragin Cajun,Six Flags America,Zamperla,Steel,Spinning Wild Mouse,2014,2.5,43,NA,NA,29,NA,Reverchon,30,NA,4,120
Ragin' Cajun,Six Flags Great America,Zamperla,Steel,Spinning Wild Mouse,2004,2.5,43,NA,NA,29,NA,Reverchon,30,NA,4,120
Ragin' Cajun,Dixie Landin' & Blue Bayou Waterpark,Vekoma International,Steel,"Boomerang, Multielement Shuttle",2001,5.2,125,6,875,48,NA,Arrow Dynamics,125,NA,28,60
Raging Bull,Six Flags Great America,Bolliger & Mabillard,Steel,Hypercoaster,1999,NA,202,NA,NA,73,65,Bolliger & Mabillard,208,NA,36,120
Raging Spirits,DisneySea Tokyo,Intamin AG,Steel,Looping,2005,NA,NA,1,NA,37,NA,NA,NA,NA,12,60
Raging Wolf Bobs,Geauga Lake's Wildwater Kingdom,"Curtis D. Summers, Dinn Corporation",Wood,Freeform,1988,NA,80,NA,NA,45,50,Gerstlauer,75,NA,24,120
RailBlazer,California's Great America,Rocky Mountain Construction,Steel,Raptor-Single Rail,2018,NA,106,3,NA,52,90,NA,NA,NA,8,NA
Rainbow Chaser,Fun Forest,Schiff,Steel,"Junior, Oval",NA,NA,18,NA,NA,10,NA,NA,NA,NA,10,NA
Rainier Rush,Puyallup Fair,Top Fun,Steel,Looping Twister,2013,NA,63,1,NA,45,NA,NA,55,NA,12,NA
Rampage,Alabama Splash Adventure,"Custom Coasters, Inc.",Wood,Twister,1998,NA,120,NA,NA,55,NA,Philadelphia Toboggan Co.,102,NA,24,NA
Raptor,Gardaland,Bolliger & Mabillard,Steel,,2011,NA,98,3,NA,NA,NA,NA,NA,NA,28,NA
Raptor,Cedar Point,Bolliger & Mabillard,Steel,Inverted Multielement,1994,NA,137,6,NA,57,45,Bolliger & Mabillard,119,NA,32,120
Rasender Roland,Hansa-Park,Vekoma,Steel,Custom Junior,1993,NA,53,NA,NA,31,NA,NA,NA,NA,20,60
Rasender Tausendfüßler,Erlebnispark Tripsdrill,Zierer,Steel,Family,1986,NA,26,NA,NA,22,NA,NA,NA,NA,40,NA
Rat Ride,Lightwater Valley,Schwarzkopf,Steel,"Wildcat, Indoor",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rattlesnake,Chessington World of Adventures,Maurer Shöne,Steel,Wild Mouse,1998,NA,49,NA,NA,28,46,NA,25,NA,4,60
Raven,Holiday World & Splashin' Safari,"Custom Coasters, Inc.",Wood,Terrain,1995,NA,80,NA,NA,48,NA,Philadelphia Toboggan Co.,85,NA,24,60
Ravine Flyer 3,Waldameer Park,"Miler Coaster, Inc.",Steel,Junior,2e3,NA,14,NA,NA,NA,NA,NA,15,NA,12,NA
Ravine Flyer II,Waldameer Park,"The Gravity Group, LLC",Wood,Out and Back,2008,NA,85,NA,NA,57,60,Philadelphia Toboggan Company,119,NA,24,60
RC Racer,Walt Disney Studios Park,Intamin AG,Steel,Half Pipe Shuttle,2010,NA,82,NA,269,NA,NA,NA,NA,NA,20,NA
RC-48,Morey's Surfside Pier,Pinfari,Steel,Twister,2e3,NA,54,NA,NA,NA,NA,Pinfari,50,NA,12,NA
Rebel Yell,Kings Dominion,"John Allen, Philadelphia Toboggan Co.",Wood,"Dual Track, Out and Back",1975,NA,86,NA,NA,55,50,Philadelphia Toboggan Co.,85,NA,30,120
Red Falcon,Hirakata Park,"Senyo Kogyo Co., Ltd.",Steel,,NA,NA,100,NA,NA,43.5,NA,NA,NA,NA,32,120
Red Force,Ferrari Land,Intamin AG,Steel,Launched,2017,NA,367,NA,NA,111.9,90,NA,NA,LSM,NA,NA
Renegade,Valleyfair,Great Coasters International,Wood,Twister,2007,NA,104,NA,NA,52,NA,Great Coasters International,91,NA,24,120
Renegade,Southern Adventures,Allan Herschell,Steel,"Junior, Oval",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
Revenge of the Mummy,Universal Studios Florida,Premier Rides,Steel,Launched Indoor,2004,NA,45,NA,NA,45,50,Premier Rides,25,LIM,16,240
